uuid,molecule,fragments,linker,anchor_1,anchor_2,energy,idx,keep
74,O=C([O-])c1cc(C(=O)[O-])cc(-c2c(F)cc(-c3cc(C(=O)[O-])c(F)c(C(=O)[O-])c3F)cc2F)c1,O=C([O-])c1ccc(F)c(C(=O)[O-])c1F.O=C([O-])c1cccc(C(=O)[O-])c1,Fc1cccc(F)c1,10,17,63.45344211634798,74,True
91,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])c(Cl)c3)c(Cl)c2)c(Cl)c1,O=C([O-])c1cccc(Cl)c1.O=C([O-])c1ccccc1Cl,Clc1ccccc1,6,16,59.19998892389973,91,True
106,Fc1cc(-c2nnc(-c3c(F)c(F)nc(F)c3F)nn2)c(F)c(F)n1,Fc1cc(F)c(F)nc1F.Fc1ccc(F)c(F)n1,c1nncnn1,3,16,40.78737616165941,106,True
110,Clc1cc(-c2cc(Cl)c(-c3cc(Cl)nc(Cl)c3Cl)c(Cl)c2Cl)c(Cl)c(Cl)n1,Clc1ccc(Cl)c(Cl)n1.Clc1ccc(Cl)c(Cl)n1,Clc1ccc(Cl)c(Cl)c1,3,12,55.73153921238831,110,True
0,O=C([O-])c1ccc(-c2ccc(-c3cc(Cl)c(C(=O)[O-])c(Cl)c3Cl)cc2)c(Cl)c1,O=C([O-])c1c(Cl)ccc(Cl)c1Cl.O=C([O-])c1cccc(Cl)c1,c1ccccc1,7,18,64.44788687601726,0,True
10,FC(=Cc1ccncc1)c1cc(F)nc(F)c1,Fc1cccc(F)n1.c1ccncc1,C=CF,3,10,33.717463208344256,10,True
14,O=C([O-])c1ccc(C=C(F)c2cc(F)c(C(=O)[O-])cc2F)c(F)c1,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1cccc(F)c1,C=CF,7,17,42.13481431785708,14,True
28,FC(=C(F)c1ccnc(F)c1)c1ccnc(F)c1,Fc1ccccn1.Fc1ccccn1,FC=CF,3,10,35.84191486272539,28,True
42,O=C([O-])c1ccc(-c2cc(Cl)c(-c3ccc(C(=O)[O-])c(Cl)c3Cl)cc2Cl)c(Cl)c1,O=C([O-])c1cccc(Cl)c1.O=C([O-])c1cccc(Cl)c1Cl,Clc1ccc(Cl)cc1,6,17,63.42114620084719,42,True
51,O=C([O-])C#CC(Cl)=C(Cl)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],ClC=CCl,4,9,2.385368593980001,51,True
59,c1ccc(-c2cnc(-c3ccccc3)cn2)cc1,c1ccccc1.c1ccccc1,c1cnccn1,3,9,42.77127838679102,59,True
63,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)ccc1-c1cc(C(=O)[O-])c(N)c(C(=O)[O-])c1N,Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-].Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-],Nc1ccccc1,7,21,100.4326778859374,63,True
76,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)c(N)c1-c1c(N)c(C(=O)[O-])c(N)c(C(=O)[O-])c1N,Nc1cc(N)c(C(=O)[O-])c(N)c1C(=O)[O-].Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-],Nc1ccc(N)c(N)c1,8,22,116.07647067519322,76,True
0,O=C([O-])C#CC(F)=C(F)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],FC=CF,4,9,0.771394001284252,0,True
8,O=C([O-])c1ccc(-c2ccc(-c3cc(F)c(C(=O)[O-])cc3F)c(F)c2)cc1F,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1ccccc1F,Fc1ccccc1,7,17,55.097732339160494,8,True
23,Nc1cc(-c2c(N)cc(C(=O)[O-])c(N)c2N)c(N)cc1-c1cc(N)c(C(=O)[O-])c(N)c1,Nc1cc(N)c(N)c(C(=O)[O-])c1.Nc1cccc(N)c1C(=O)[O-],Nc1ccc(N)cc1,11,15,85.48523241441222,23,True
34,Nc1cc(-c2cc(N)c(-c3c(N)c(N)nc(N)c3N)c(N)c2N)c(N)c(N)n1,Nc1cc(N)c(N)nc1N.Nc1ccc(N)c(N)n1,Nc1ccc(N)c(N)c1,3,16,79.36262250974458,34,True
38,Clc1cc(-c2ccnc(Cl)c2Cl)cc(Cl)c1-c1c(Cl)cnc(Cl)c1Cl,Clc1cccnc1Cl.Clc1cnc(Cl)c(Cl)c1,Clc1cccc(Cl)c1,8,14,54.1657923669845,38,True
45,Cc1cc(-c2ccc(-c3ccc(C(=O)[O-])cc3)cc2C)ccc1C(=O)[O-],Cc1ccccc1C(=O)[O-].O=C([O-])c1ccccc1,Cc1ccccc1,3,16,62.22465352298019,45,True
57,O=C([O-])c1c(F)c(C(=O)[O-])c(F)c(-c2cc(F)c(-c3c(F)c(C(=O)[O-])c(F)c(C(=O)[O-])c3F)c(F)c2)c1F,O=C([O-])c1c(F)cc(F)c(C(=O)[O-])c1F.O=C([O-])c1c(F)cc(F)c(C(=O)[O-])c1F,Fc1cccc(F)c1,12,27,72.58843147055438,57,True
69,O=C([O-])c1cc(-c2ccc(-c3cc(C(=O)[O-])c(F)c(C(=O)[O-])c3F)c(F)c2)cc(C(=O)[O-])c1F,O=C([O-])c1ccc(F)c(C(=O)[O-])c1F.O=C([O-])c1cccc(C(=O)[O-])c1F,Fc1ccccc1,5,18,64.94996542469002,69,True
84,O=C([O-])c1cc(F)c(-c2ccc(-c3cc(F)c(C(=O)[O-])c(F)c3F)cc2F)c(F)c1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1cc(F)cc(F)c1F,Fc1ccccc1,7,19,58.40733643355319,84,True
